name,url,level,school,casting_time,range,components,concentration,ritual,description,source
Warding Bond,https://www.aidedd.org/dnd/sorts.php?vo=warding-bond,Level 2,abjuration,1 action,Touch,"V,S,M",No,No,"The target gains +1 on AC, +1 on saving throws and resistance to all damage, but the caster shares damage.",Player´s Handbook (SRD)
Warding Wind,https://www.aidedd.org/dnd/sorts.php?vo=warding-wind,Level 2,evocation,1 action,Self,V,Yes,No,"Create strong wind (20 miles/h) in a 10-ft radius (deafen, extinguish flames, hedge out gas, difficult terrain, etc).",Xanathar´s Guide to Everything
Water Breathing,https://www.aidedd.org/dnd/sorts.php?vo=water-breathing,Level 3,transmutation,1 action,30 ft,"V,S,M",No,Yes,Up to 10 creatures gets the ability to breathe underwater.,Player´s Handbook (SRD)
Water Walk,https://www.aidedd.org/dnd/sorts.php?vo=water-walk,Level 3,transmutation,1 action,30 ft,"V,S,M",No,Yes,"Up to 10 creatures can move on a liquid surface (water, acid, mud, lava, etc) as if it were harmless solid ground.",Player´s Handbook (SRD)
Watery Sphere,https://www.aidedd.org/dnd/sorts.php?vo=watery-sphere,Level 4,conjuration,1 action,90 ft,"V,S,M",Yes,No,Up to 4 Medium creatures or 1 Large creature in a 10-ft radius must succeed on a Str. save or be restrained.,Xanathar´s Guide to Everything
Web,https://www.aidedd.org/dnd/sorts.php?vo=web,Level 2,conjuration,1 action,60 ft,"V,S,M",Yes,No,"Create a 20-ft cube filled by thick, sticky webs (difficult terrain) that can restrain creature (Dex. save).",Player´s Handbook (SRD)
Weird,https://www.aidedd.org/dnd/sorts.php?vo=weird,Level 9,illusion,1 action,120 ft,"V,S",Yes,No,Creatures in a 30-ft-radius sphere must succeed on a Wis. save or be frightened and take 4d10 psychic damage each turn.,Player´s Handbook (SRD)
Whirlwind,https://www.aidedd.org/dnd/sorts.php?vo=whirlwind,Level 7,evocation,1 action,300 ft,"V,M",Yes,No,"Creatures in a 10-ft-radius, 30-foot-high cylinder must succeed on a Dex. save or take 10d6 blunt damage.",Xanathar´s Guide to Everything
Wind Walk,https://www.aidedd.org/dnd/sorts.php?vo=wind-walk,Level 6,transmutation,1 minute,30 ft,"V,S,M",No,No,The caster and up to 10 creatures assume gaseous form (flying speed of 300 ft and resistance to damage from nonmagical weapon).,Player´s Handbook (SRD)
Wind Wall,https://www.aidedd.org/dnd/sorts.php?vo=wind-wall,Level 3,evocation,1 action,120 ft,"V,S,M",Yes,No,"Create a 50-ft-long, 15-ft-high, 1-ft-thick wall of wind. Small flying creatures can't pass. Arrows and bolts are deflected.",Player´s Handbook (SRD)
Wish,https://www.aidedd.org/dnd/sorts.php?vo=wish,Level 9,conjuration,1 action,Self,V,No,No,"Duplicate a 8th level spell or lower without components, or create another effect at the MD discretion.",Player´s Handbook (SRD)
Witch Bolt,https://www.aidedd.org/dnd/sorts.php?vo=witch-bolt,Level 1,evocation,1 action,30 ft,"V,S,M",Yes,No,"If the spell attack hits, deals 1d12 lightning damage (damage/lvl) on each round.",Player´s Handbook (BR+)
Word of Radiance,https://www.aidedd.org/dnd/sorts.php?vo=word-of-radiance,Cantrip,evocation,1 action,5 ft,"V,M",No,No,Creatures in a 5-ft radius must succeed on a Con. save or take 1d6 radiant damage (/lvl).,Xanathar´s Guide to Everything
Word of Recall,https://www.aidedd.org/dnd/sorts.php?vo=word-of-recall,Level 6,conjuration,1 action,5 ft,V,No,No,The caster and up to 5 other creatures are teleported to a previously designated sanctuary.,Player´s Handbook (SRD)
Wrath of Nature,https://www.aidedd.org/dnd/sorts.php?vo=wrath-of-nature,Level 5,evocation,1 action,120 ft,"V,S",Yes,No,"Animate trees, rocks, and grasses in a 60 x 60 x 60 ft cube.",Xanathar´s Guide to Everything
Wrathful Smite,https://www.aidedd.org/dnd/sorts.php?vo=wrathful-smite,Level 1,evocation,1 bonus action,Self,V,Yes,No,"If the attack hits, deals an extra 1d6 psychic damage and the target must succeed on a Wis. save or be frightened.",Player´s Handbook
Zephyr Strike,https://www.aidedd.org/dnd/sorts.php?vo=zephyr-strike,Level 1,transmutation,1 bonus action,Self,V,Yes,No,The caster's movement (+30 ft) doesn't provoque OA and he gets advantage to one attack roll that deals an extra 1d8 force.,Xanathar´s Guide to Everything
Zone of Truth,https://www.aidedd.org/dnd/sorts.php?vo=zone-of-truth,Level 2,enchantment,1 action,60 ft,"V,S",No,No,Creatures within a 15-ft-radius sphere must succeed on a Cha. save or can not lie.,Player´s Handbook (SRD)
